T,V,
-0.25,0.022,0
-0.2498,-0.02,0
-0.2496,0.024,0
-0.2494,-0.014,0
-0.2492,0.016,0
-0.249,-0.018,0
-0.2488,0.034,0
-0.2486,0.01,0.2
-0.2484,0.008,0
-0.2482,-0.01,0
-0.248,-0.002,0
-0.2478,0.01,0
-0.2476,-0.01,0
-0.2474,-0.006,0
-0.2472,-0.006,0
-0.247,0.006,0
-0.2468,-0.006,0
-0.2466,0.004,0
-0.2464,0.014,0
-0.2462,0.002,0.2
-0.246,0.006,0
-0.2458,0.026,0
-0.2456,-0.002,0
-0.2454,-0.002,0
-0.2452,0.004,0
-0.245,0.002,0
-0.2448,0.004,0
-0.2446,0.018,0
-0.2444,-0.024,0.2
-0.2442,0.004,0.2
-0.244,0.012,0
-0.2438,0.014,0
-0.2436,-0.006,0
-0.2434,0.008,0
-0.2432,0.006,0
-0.243,0.006,0
-0.2428,0.01,0
-0.2426,0.026,0
-0.2424,-0.002,0
-0.2422,0,0
-0.242,-0.012,0
-0.2418,-0.014,0.2
-0.2416,0.006,0.2
-0.2414,0.014,0
-0.2412,0.002,0
-0.241,0.002,0.2
-0.2408,0.02,0
-0.2406,-0.034,0
-0.2404,0.002,0
-0.2402,0.002,0
-0.24,0.012,0
-0.2398,0.016,0
-0.2396,-0.006,0
-0.2394,-0.018,0
-0.2392,0.002,-0.2
-0.239,-0.004,0
-0.2388,0.026,0
-0.2386,0,0
-0.2384,-0.01,0
-0.2382,0.01,0
-0.238,0.008,0
-0.2378,-0.008,0
-0.2376,-0.004,0
-0.2374,-0.002,0.2
-0.2372,0.004,0
-0.237,-0.004,0
-0.2368,-0.01,0.2
-0.2366,0.004,0
-0.2364,-0.012,0
-0.2362,0.004,0
-0.236,-0.01,0
-0.2358,0.008,0
-0.2356,0.002,0
-0.2354,0.002,0
-0.2352,-0.02,0
-0.235,0.008,0
-0.2348,-0.004,0
-0.2346,-0.006,-0.2
-0.2344,0.004,0
-0.2342,0.022,0
-0.234,-0.014,0
-0.2338,0.006,0
-0.2336,-0.004,0
-0.2334,0.008,0
-0.2332,0.014,0
-0.233,-0.012,0
-0.2328,0.008,0
-0.2326,0.002,0
-0.2324,-0.012,0.2
-0.2322,0.022,0
-0.232,-0.004,0
-0.2318,-0.002,0
-0.2316,0.004,0
-0.2314,-0.01,0
-0.2312,0.004,0
-0.231,0,0
-0.2308,-0.028,0
-0.2306,0,0
-0.2304,0.002,0
-0.2302,0.006,0
-0.23,0.014,0.2
-0.2298,0.008,0
-0.2296,0.002,0
-0.2294,0.016,0
-0.2292,0.006,0
-0.229,-0.024,0
-0.2288,-0.01,0
-0.2286,-0.018,0
-0.2284,0.002,0
-0.2282,0.01,0
-0.228,0.002,0
-0.2278,0.008,0
-0.2276,-0.006,0
-0.2274,0.026,0
-0.2272,0.012,0
-0.227,-0.01,0
-0.2268,0.004,0
-0.2266,-0.002,0
-0.2264,0.008,0.2
-0.2262,-0.024,0.2
-0.226,-0.002,0.2
-0.2258,0.008,0.2
-0.2256,-0.016,0.2
-0.2254,0.01,0
-0.2252,0.002,0
-0.225,-0.01,0.2
-0.2248,-0.02,0
-0.2246,0,0
-0.2244,0.026,0
-0.2242,0.008,0
-0.224,0.006,0
-0.2238,-0.028,0
-0.2236,-0.004,0
-0.2234,0.006,0
-0.2232,0.008,0
-0.223,0.026,0
-0.2228,0.004,0
-0.2226,0.014,0
-0.2224,0.016,0
-0.2222,0.008,0
-0.222,0.016,0.2
-0.2218,-0.01,0
-0.2216,0.004,0
-0.2214,0,0
-0.2212,0.034,0
-0.221,-0.006,0
-0.2208,-0.012,0
-0.2206,0.02,0
-0.2204,-0.028,0
-0.2202,0.006,0
-0.22,-0.028,0
-0.2198,0.008,0
-0.2196,-0.006,0
-0.2194,0.024,0
-0.2192,-0.01,0
-0.219,-0.004,0
-0.2188,0.004,0
-0.2186,-0.024,0
-0.2184,-0.002,0
-0.2182,-0.002,0
-0.218,-0.026,0
-0.2178,0.01,0
-0.2176,-0.012,0
-0.2174,-0.01,0
-0.2172,0.008,0
-0.217,0.004,0
-0.2168,0.016,0
-0.2166,0.008,0
-0.2164,-0.016,0
-0.2162,-0.006,0
-0.216,0,0
-0.2158,-0.01,0
-0.2156,-0.002,0
-0.2154,0.01,0.2
-0.2152,0.006,0
-0.215,-0.01,0
-0.2148,-0.006,0
-0.2146,0.006,0
-0.2144,0.002,0.2
-0.2142,0.002,0
-0.214,-0.008,0
-0.2138,-0.018,0
-0.2136,0.006,0
-0.2134,0.01,0
-0.2132,-0.002,0
-0.213,-0.01,0
-0.2128,-0.016,0
-0.2126,-0.012,0
-0.2124,0.006,0
-0.2122,-0.008,0
-0.212,0.012,0.2
-0.2118,0.012,0.2
-0.2116,0.004,0
-0.2114,0.008,0
-0.2112,-0.022,0
-0.211,0.012,0
-0.2108,-0.01,0
-0.2106,0.01,0
-0.2104,-0.016,0.2
-0.2102,-0.01,0
-0.21,0.008,0.2
-0.2098,-0.014,0
-0.2096,0.026,0
-0.2094,0.008,0
-0.2092,0.002,0
-0.209,-0.008,0
-0.2088,0.002,0
-0.2086,-0.006,0
-0.2084,0.004,0
-0.2082,0.02,0
-0.208,-0.004,0
-0.2078,0.002,0.2
-0.2076,-0.022,0
-0.2074,-0.006,0
-0.2072,-0.002,0
-0.207,0.006,0
-0.2068,-0.002,0
-0.2066,0,0
-0.2064,0.008,0
-0.2062,-0.002,0
-0.206,-0.018,0
-0.2058,-0.002,0
-0.2056,0.012,0
-0.2054,0.002,0
-0.2052,-0.008,0
-0.205,0.016,0
-0.2048,0.002,0
-0.2046,-0.012,0
-0.2044,-0.006,0
-0.2042,0.018,0
-0.204,-0.01,0
-0.2038,-0.022,0
-0.2036,-0.018,0
-0.2034,-0.012,0
-0.2032,0.002,0
-0.203,0.02,0
-0.2028,-0.014,0
-0.2026,0,0
-0.2024,0.002,0.2
-0.2022,0.002,0
-0.202,0.004,0
-0.2018,0.016,0
-0.2016,-0.006,0
-0.2014,0.002,0
-0.2012,-0.016,0
-0.201,0.022,0
-0.2008,-0.026,0
-0.2006,-0.012,0
-0.2004,-0.018,0
-0.2002,0.012,0
-0.2,-0.018,0.2
-0.1998,0.024,0.2
-0.1996,-0.036,0
-0.1994,0.002,0
-0.1992,-0.02,0
-0.199,0.002,0
-0.1988,0.018,0
-0.1986,0.01,0
-0.1984,0.006,0
-0.1982,-0.016,0.2
-0.198,0,0
-0.1978,0.01,0
-0.1976,0.01,0
